title,target_muscle_group,exercise_type,equipment,mechanics,force_type,experience_level,secondary_muscles,video_url,video_type
hip abduction machine,Abductors,Strength,Machine,Isolation,Push (Bilateral),Beginner,"Abs, Glutes, Hamstrings",https://www.youtube.com/embed/7pbZA7ncuq8?rel=0,youtube
cable hip abduction,Abductors,Strength,Cable,Isolation,N/A,Beginner,Glutes,cdn.muscleandstrength.com/video/cableabduction.mp4,mp4
cable crunch,Abs,Strength,Cable,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/cablecrunch.mp4,mp4
lying floor leg raise,Abs,Strength,Bodyweight,Isolation,Pull (Bilateral),Beginner,None,https://www.youtube.com/embed/r24ntO4IvKc?rel=0,youtube
weighted crunch,Abs,Strength,Other,Isolation,Pull,Intermediate,None,https://www.youtube.com/embed/6kHg3JAFNFo?rel=0,youtube
hover,Abs,Strength,Bodyweight,Isolation,Static,Beginner,Lower Back,cdn.muscleandstrength.com/video/Plank.mp4,mp4
hanging leg raise,Abs,Strength,Bodyweight,Isolation,Pull,Advanced,Forearms,cdn.muscleandstrength.com/video/hanginglegraise.mp4,mp4
dumbbell side bends,Abs,Strength,Dumbbell,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/dumbbellsidebend.mp4,mp4
side hover,Abs,Strength,Bodyweight,Isolation,Static,Beginner,Lower Back,cdn.muscleandstrength.com/video/sideplank.mp4,mp4
decline situp,Abs,Strength,Bodyweight,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/declinesitup.mp4,mp4
abdominal barbell rollouts,Abs,Strength,Barbell,Compound,N/A,Intermediate,Shoulders,cdn.muscleandstrength.com/video/barbellrollouts.mp4,mp4
sit up,Abs,Strength,Bodyweight,Isolation,Pull (Bilateral),Beginner,None,https://www.youtube.com/embed/MQDopvLZOS8?rel=0,youtube
twisting hanging knee raise,Abs,Strength,Bodyweight,Compound,Pull,Intermediate,Forearms,cdn.muscleandstrength.com/video/twistinghangingkneeraise.mp4,mp4
floor crunch legs on bench,Abs,Strength,Bodyweight,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/floorcrunchfeetonbench.mp4,mp4
russian twist,Abs,Strength,Bodyweight,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/russiantwist.mp4,mp4
abdominal air bike,Abs,Strength,Bodyweight,Compound,Pull (Bilateral),Beginner,None,https://www.youtube.com/embed/vV_sKNCpiVM?rel=0,youtube
hanging knee raise,Abs,Strength,Bodyweight,Compound,Pull,Intermediate,Forearms,cdn.muscleandstrength.com/video/hangingkneeraise.mp4,mp4
swiss ball crunch,Abs,Strength,Exercise Ball,Isolation,Pull,Intermediate,None,cdn.muscleandstrength.com/video/swissballcrunch.mp4,mp4
lying floor knee raise,Abs,Strength,Bodyweight,Compound,Pull (Bilateral),Beginner,None,https://www.youtube.com/embed/V95h0UX8UyI?rel=0,youtube
side crunch with leg lift,Abs,Strength,Bodyweight,Compound,Pull,Beginner,None,cdn.muscleandstrength.com/video/sidecrunchwithleglift.mp4,mp4
horizontal leg raise,Abs,Strength,Bodyweight,Isolation,N/A,Intermediate,None,cdn.muscleandstrength.com/video/chairlegraise.mp4,mp4
floor reach,Abs,Strength,Bodyweight,Isolation,Pull (Bilateral),Beginner,None,https://www.youtube.com/embed/yjfLpiFyGxs?rel=0,youtube
hip thrusts,Abs,Strength,Bodyweight,Isolation,N/A,Beginner,None,cdn.muscleandstrength.com/video/hipthrusts.mp4,mp4
seated leg tucks,Abs,Strength,Bodyweight,Compound,Pull,Beginner,None,cdn.muscleandstrength.com/video/seatedlegtucks.mp4,mp4
bench jack knife,Abs,Strength,Bodyweight,Compound,N/A,Beginner,None,cdn.muscleandstrength.com/video/benchjackknife.mp4,mp4
lying alternate floor leg raise,Abs,Strength,Bodyweight,Isolation,N/A,Beginner,None,cdn.muscleandstrength.com/video/lyingalternatelegraise.mp4,mp4
seated barbell twist,Abs,Strength,Barbell,Isolation,N/A,Beginner,None,cdn.muscleandstrength.com/video/seatedbarbelltwist.mp4,mp4
lying bench leg raise,Abs,Strength,Bodyweight,Isolation,N/A,Beginner,None,cdn.muscleandstrength.com/video/lyingbenchlegraise.mp4,mp4
twisting bench crunch,Abs,Strength,Bodyweight,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/twistingbenchcrunch.mp4,mp4
decline abdominal reach,Abs,Strength,Bodyweight,Compound,N/A,Beginner,None,cdn.muscleandstrength.com/video/declineabdominalreach.mp4,mp4
decline bench leg raise,Abs,Strength,Bodyweight,Isolation,N/A,Beginner,None,cdn.muscleandstrength.com/video/declinebenchlegraise.mp4,mp4
plank with feet on bench,Abs,Strength,Bodyweight,Isolation,Static,Beginner,Lower Back,cdn.muscleandstrength.com/video/plankwithfeetonbench.mp4,mp4
hip adduction machine,Adductors,Strength,Machine,Isolation,Push (Bilateral),Beginner,"Glutes, Hamstrings",https://www.youtube.com/embed/Oj7IN952fSg?rel=0,youtube
cable hip adduction,Adductors,Strength,Cable,Isolation,N/A,Beginner,"Glutes, Hamstrings",cdn.muscleandstrength.com/video/cableadduction.mp4,mp4
standing dumbbell curl,Biceps,Strength,Dumbbell,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/standingdumbbellcurl.mp4,mp4
standing barbell curl,Biceps,Strength,Barbell,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/standingbarbellcurl.mp4,mp4
incline dumbbell curl,Biceps,Strength,Dumbbell,Isolation,Pull (Bilateral),Beginner,Forearms,https://www.youtube.com/embed/UeleXjsE-98?rel=0,youtube
standing hammer curl,Biceps,Strength,Dumbbell,Isolation,Pull,Beginner,Forearms,cdn.muscleandstrength.com/video/standinghammercurl.mp4,mp4
cable curl,Biceps,Strength,Cable,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/cablecurl.mp4,mp4
ez bar preacher curl,Biceps,Strength,Barbell,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/ezbarpreachercurl.mp4,mp4
concentration cur,Biceps,Strength,Dumbbell,Isolation,Pull (Unilateral),Beginner,Forearms,https://www.youtube.com/embed/LHDwya1KY8M?rel=0,youtube
zottman curl,Biceps,Strength,Dumbbell,Isolation,Pull (Bilateral),Intermediate,Forearms,https://www.youtube.com/embed/rVEwDJdHE2c?rel=0,youtube
hammer curl across the body,Biceps,Strength,Dumbbell,Isolation,Pull,Beginner,Forearms,cdn.muscleandstrength.com/video/hammercurlacrossbody.mp4,mp4
alternating standing dumbbell curl,Biceps,Strength,Dumbbell,Isolation,Pull,Beginner,Forearms,cdn.muscleandstrength.com/video/alternatestandingdumbbellcurl.mp4,mp4
ez bar curl,Biceps,Strength,Barbell,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/ezbarcurl.mp4,mp4
rope cable curl,Biceps,Strength,Cable,Isolation,Pull,Beginner,Forearms,cdn.muscleandstrength.com/video/ropecablecurl.mp4,mp4
alternate seated dumbbell curl,Biceps,Strength,Dumbbell,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/alternateseateddumbbellcurl.mp4,mp4
bicep machine curl,Biceps,Strength,Machine,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/machinebicepcurl.mp4,mp4
preacher curl,Biceps,Strength,Barbell,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/barbellpreachercurl.mp4,mp4
seated dumbbell curl,Biceps,Strength,Dumbbell,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/seateddumbbellcurl.mp4,mp4
spider curl,Biceps,Strength,Barbell,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/spidercurl.mp4,mp4
standing dumbbell reverse curl,Biceps,Strength,Dumbbell,Isolation,Pull (Bilateral),Beginner,Forearms,https://www.youtube.com/embed/i5h3myNHVFk?rel=0,youtube
standing high pulley cable curl,Biceps,Strength,Cable,Isolation,Pull,Intermediate,None,cdn.muscleandstrength.com/video/standingoverheadcablecurl.mp4,mp4
alternate standing hammer curl,Biceps,Strength,Dumbbell,Isolation,Pull,Beginner,Forearms,cdn.muscleandstrength.com/video/alternatestandinghammercurl.mp4,mp4
dumbbell preacher curl,Biceps,Strength,Dumbbell,Isolation,Pull (Bilateral),Beginner,Forearms,https://www.youtube.com/embed/pwEhS1sg9mU?rel=0,youtube
one arm seated dumbbell curl,Biceps,Strength,Dumbbell,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/onearmseateddumbbellcurl.mp4,mp4
preacher cable curl,Biceps,Strength,Cable,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/cablepreachercurl.mp4,mp4
one arm standing hammer curl,Biceps,Strength,Dumbbell,Isolation,Pull,Beginner,Forearms,cdn.muscleandstrength.com/video/onearmhammercurl.mp4,mp4
seated hammer curl,Biceps,Strength,Dumbbell,Isolation,Pull,Beginner,Forearms,cdn.muscleandstrength.com/video/seatedhammercurl.mp4,mp4
barbell drag curl,Biceps,Strength,Barbell,Isolation,Pull (Bilateral),Beginner,Forearms,https://www.youtube.com/embed/vzIDzUYCB2Q?rel=0,youtube
one arm cable curl,Biceps,Strength,Cable,Isolation,Pull,Intermediate,None,cdn.muscleandstrength.com/video/onearmcablecurl.mp4,mp4
cable underhand pull down,Biceps,Strength,Machine,Isolation,Pull,Intermediate,None,cdn.muscleandstrength.com/video/pulldownbicepcurl.mp4,mp4
dumbbell hammer preacher curl,Biceps,Strength,Dumbbell,Isolation,Pull,Beginner,Forearms,https://www.youtube.com/embed/ZdcFOgFi1Dg?rel=0,youtube
seated barbell curl,Biceps,Strength,Barbell,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/seatedbarbellcurl.mp4,mp4
wide grip standing barbell curl,Biceps,Strength,Barbell,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/widegripstandingbarbellcurl.mp4,mp4
barbell hammer curl,Biceps,Strength,Barbell,Isolation,Pull,Beginner,Forearms,cdn.muscleandstrength.com/video/barbellhammercurl.mp4,mp4
lying cable curl floor,Biceps,Strength,Cable,Isolation,Pull,Intermediate,None,cdn.muscleandstrength.com/video/lyingcablecurl.mp4,mp4
alternate incline dumbbell curl,Biceps,Strength,Dumbbell,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/alternateinclinedumbbellcurl.mp4,mp4
one arm standing dumbbell curl,Biceps,Strength,Dumbbell,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/onearmstandingdumbbellcurl.mp4,mp4
squatting cable curl,Biceps,Strength,Cable,Isolation,Pull,Intermediate,None,cdn.muscleandstrength.com/video/squattingcablecurl.mp4,mp4
one arm preacher curl,Biceps,Strength,Dumbbell,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/onearmdumbbellpreachercurl.mp4,mp4
seated calf raise,Calves,Strength,Machine,Isolation,Push (Bilateral),Beginner,None,https://www.youtube.com/embed/Yh5TXz99xwY?rel=0,youtube
45 degress calf press,Calves,Strength,Machine,Isolation,Push (Bilateral),Beginner,None,https://www.youtube.com/embed/RcKQbiL-ZOc?rel=0,youtube
seated dumbbell calf raise,Calves,Strength,Dumbbell,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/seateddumbbellcalfraise.mp4,mp4
standing calf raise,Calves,Strength,Barbell,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/standingbarbellcalfraise.mp4,mp4
standing one leg calf raise with dumbbell,Calves,Strength,Dumbbell,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/standingonelegcalfraisewithdumbbell.mp4,mp4
bodyweight standing calf raise,Calves,Strength,Bodyweight,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/bodyweightstandingcalfraise.mp4,mp4
one leg seated dumbbell calf raise,Calves,Strength,Dumbbell,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/onelegseateddumbbellcalfraise.mp4,mp4
smith machine calf raise,Calves,Strength,Machine,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/smithmachinecalfraise.mp4,mp4
donkey calf raise,Calves,Strength,Bodyweight,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/donkeycalfraise.mp4,mp4
one leg standing calf raise,Calves,Strength,Bodyweight,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/onelegbodyweightstandingcalfraise.mp4,mp4
floor barbell calf raise,Calves,Strength,Barbell,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/floorbarbellcalfraise.mp4,mp4
seated barbell calf raise,Calves,Strength,Barbell,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/seatedbarbellcalfraise.mp4,mp4
toes in seated calf raise,Calves,Strength,Machine,Isolation,Push (Bilateral),Beginner,None,https://www.youtube.com/embed/GNNggarciHY?rel=0,youtube
one leg floor calf raise,Calves,Strength,Bodyweight,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/onelegfloorcalfraise.mp4,mp4
cable calf raise,Calves,Strength,Cable,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/cablecalfraise.mp4,mp4
rocking standing calf raise,Calves,Strength,Barbell,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/rockingcalfraise.mp4,mp4
hack calf raise,Calves,Strength,Machine,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/hackcalfraises.mp4,mp4
floor calf raise,Calves,Strength,Bodyweight,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/floorcalfraise.mp4,mp4
smith machine seated calf raise,Calves,Strength,Machine,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/smithmachineseatedcalfraise.mp4,mp4
smith machine one leg calf raise,Calves,Strength,Machine,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/onelegsmithmachinecalfraise.mp4,mp4
one leg 45 degree calf raise,Calves,Strength,Machine,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/oneleg45degreecalfraise.mp4,mp4
toes out 45 degree calf raise,Calves,Strength,Machine,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/toesout45degreecalfraise.mp4,mp4
exercise ball on the wall calf raise,Calves,Strength,Exercise Ball,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/swissballwallcalfraise.mp4,mp4
toes out seated calf raise,Calves,Strength,Machine,Isolation,Push (Bilateral),Beginner,None,https://www.youtube.com/embed/grb_PSkmVls?rel=0,youtube
toes in smith machine calf raise,Calves,Strength,Machine,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/toesinsmithmachinecalfraise.mp4,mp4
one leg seated calf raise,Calves,Strength,Machine,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/onelegseatedcalfraise.mp4,mp4
smith machine toe raise,Calves,Strength,Machine,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/reversesmithmachinecalfraise.mp4,mp4
dumbbell bench press,Chest,Strength,Dumbbell,Compound,Push (Bilateral),Beginner,"Shoulders, Triceps",https://www.youtube.com/embed/dGqI0Z5ul4k?rel=0,youtube
dumbbell pullover,Chest,Strength,Dumbbell,Compound,Push,Intermediate,"Lats, Shoulders, Triceps",cdn.muscleandstrength.com/video/dumbbellpullover.mp4,mp4
incline dumbbell bench press,Chest,Strength,Dumbbell,Compound,Push (Bilateral),Beginner,"Shoulders, Triceps",https://www.youtube.com/embed/8nNi8jbbUPE?rel=0,youtube
dumbbell flys,Chest,Strength,Dumbbell,Isolation,Push (Bilateral),Beginner,"Shoulders, Triceps",https://www.youtube.com/embed/-lcbvOddoi8?rel=0,youtube
incline bench press,Chest,Strength,Barbell,Compound,Push (Bilateral),Beginner,"Shoulders, Triceps",https://www.youtube.com/embed/uIzbJX5EVIY?rel=0,youtube
barbell bench press,Chest,Strength,Barbell,Compound,Push (Bilateral),Intermediate,"Shoulders, Triceps",https://www.youtube.com/embed/tuwHzzPdaGc?rel=0,youtube
pec dec,Chest,Strength,Machine,Isolation,Push,Beginner,Shoulders,cdn.muscleandstrength.com/video/PecDec.mp4,mp4
cable crossovers %28mid chest%29,Chest,Strength,Cable,Isolation,Push (Bilateral),Beginner,"Shoulders, Triceps",https://www.youtube.com/embed/OPYrUGZL8nU?rel=0,youtube
hammer strength bench press,Chest,Strength,Machine,Compound,Push (Bilateral),Beginner,"Shoulders, Triceps",https://www.youtube.com/embed/dMQdd40Y3FQ?rel=0,youtube
cable crossovers %28upper chest%29,Chest,Strength,Cable,Isolation,Push,Beginner,Shoulders,https://player.vimeo.com/video/756783830?h=6ab607326e&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,vimeo
chest dip,Chest,Strength,Bodyweight,Compound,Push (Bilateral),Intermediate,"Abs, Shoulders, Triceps",https://www.youtube.com/embed/FG1ENBFsdHU?rel=0,youtube
close grip dumbbell press,Chest,Strength,Dumbbell,Compound,Push (Bilateral),Intermediate,"Shoulders, Triceps",https://www.youtube.com/embed/XZ3XSwmk1Os?rel=0,youtube
cable crossovers,Chest,Strength,Cable,Isolation,Push (Bilateral),Beginner,"Shoulders, Triceps",https://www.youtube.com/embed/DumkKcC_nHI?rel=0,youtube
incline dumbbell flys,Chest,Strength,Dumbbell,Isolation,Push,Beginner,"Shoulders, Triceps",https://www.youtube.com/embed/beazxb8q-SA?rel=0,youtube
reverse dumbbell bench press,Chest,Strength,Dumbbell,Compound,Push,Beginner,"Shoulders, Triceps",https://player.vimeo.com/video/756783404?h=cb95bd4cff&badge=0&autopause=0&player_id=0&app_id=58479/embed,vimeo
push up,Chest,Strength,Bodyweight,Compound,Push (Bilateral),Beginner,"Abs, Shoulders, Triceps",https://www.youtube.com/embed/KEFQyLkDYtI?rel=0,youtube
decline bench press,Chest,Strength,Barbell,Compound,Push (Bilateral),Beginner,"Shoulders, Triceps",https://www.youtube.com/embed/oIgci8aNsG0?rel=0,youtube
decline dumbbell bench press,Chest,Strength,Dumbbell,Compound,Push (Bilateral),Beginner,"Shoulders, Triceps",https://www.youtube.com/embed/5pDbtYmX5fM?rel=0,youtube
cable lower chest raise,Chest,Strength,Cable,Isolation,Push (Bilateral),Intermediate,"Shoulders, Triceps",https://www.youtube.com/embed/8YjdqeIXPUQ?rel=0,youtube
incline smith machine bench press,Chest,Strength,Machine,Compound,Push,Beginner,"Shoulders, Triceps",https://player.vimeo.com/video/756783757?h=9e03c89f9b&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,vimeo
